area-acres,elev-ft
8.3,2137
8.8,2138
9.3,2139
9.7,2140
12.3,2141
14.9,2142
17.5,2143
20,2144
22.6,2145
24.3,2146
26,2147
27.7,2148
29.4,2149
31.4,2150
32.3,2151
33.2,2152
34.1,2153
35,2154
35.7,2155
37.6,2156
39.5,2157
41.4,2158
43.3,2159
45.3,2160
46.5,2161
47.7,2162
49,2163
50.3,2164
51.4,2165
53.3,2166
55.2,2167
57.1,2168
59,2169
60.8,2170
61.4,2171
61.8,2172
62.2,2173
62.6,2174
62.9,2175
63.6,2176
64.3,2177
65,2178
65.7,2179
66.4,2180
67.2,2181
68,2182
68.8,2183
69.6,2184
70.4,2185
70.9,2186
71.4,2187
71.9,2188
72.4,2189
72.8,2190
73,2191
74.4,2192
76,2193
77.6,2194
80.7,2195
83.6,2196
86.5,2197
87.4,2198
90.3,2199
94.7,2200
95.8,2201
96.9,2202
98,2203
99.1,2204
100.2,2205
103.3,2206
106.4,2207
109.5,2208
112.6,2209
116.4,2210
118.2,2211
120,2212
121.8,2213
123.6,2214
125.3,2215
125.9,2216
126.5,2217
127.1,2218
127.7,2219
128.1,2220
130.4,2221
132.7,2222
135,2223
137.2,2224
